YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,AVGC
1999,2,11,ALV2,67.17,27.18,41.04,5.02
1999,2,12,ALV2,55.38,23.23,36.09,2.27
1999,2,13,ALV2,53.73,23.7,37.75,3.19
1999,2,14,ALV2,69.17,31.7,52.09,11.16
1999,2,15,ALV2,67.64,42.12,55.72,13.18
1999,2,16,ALV2,55.8,33.32,43.54,6.41
1999,2,17,ALV2,61.41,31.49,46.29,7.94
1999,2,18,ALV2,53.74,31.85,45.25,7.36
1999,2,19,ALV2,49.1,27.53,36.03,2.24
1999,2,20,ALV2,53.56,29.2,41.48,5.27
1999,2,21,ALV2,39.31,23.92,30.83,-0.65
1999,2,22,ALV2,56.55,29.62,39.93,4.41
1999,2,23,ALV2,61.54,28.45,42.78,5.99
1999,2,24,ALV2,70.29,26.89,46.43,8.02
1999,2,25,ALV2,71.85,28.85,51.12,10.62
1999,2,26,ALV2,80.28,43.01,61.48,16.38
1999,2,27,ALV2,61.84,33.06,49.39,9.66
1999,2,28,ALV2,72.93,27.56,50.16,10.09
1999,3,1,ALV2,80.94,36.22,57.71,14.28
1999,3,2,ALV2,62.28,29.08,51.24,10.69
1999,3,3,ALV2,54.59,22.17,39.24,4.02
1999,3,4,ALV2,65.59,35.32,53.45,11.92
1999,3,5,ALV2,63.72,38.03,51.43,10.79
1999,3,6,ALV2,45.99,28.16,37.8,3.22
1999,3,7,ALV2,38.89,23.55,33.15,0.64
1999,3,8,ALV2,59.49,32.03,41.46,5.26
1999,3,9,ALV2,51.53,26.38,39.7,4.28
1999,3,10,ALV2,54.57,30.34,41.56,5.31
1999,3,11,ALV2,38.6,32.07,34.96,1.64
1999,3,12,ALV2,35.42,31.61,33.12,0.62
1999,3,13,ALV2,31.65,26.74,30.18,-1.01
1999,3,14,ALV2,41.24,20.04,29.83,-1.21
1999,3,15,ALV2,61.41,24.46,42.69,5.94
1999,3,16,ALV2,70.56,43.51,57.01,13.89
1999,3,17,ALV2,63.16,44.21,54.48,12.49
1999,3,18,ALV2,46.89,39.93,43.24,6.24
1999,3,19,ALV2,45.83,37.94,41.73,5.41
1999,3,20,ALV2,63.95,35.82,48.66,9.26
1999,3,21,ALV2,63.07,36.56,49.73,9.85
1999,3,22,ALV2,71.6,40.86,55.4,13.00
1999,3,23,ALV2,48.24,34.28,40.36,4.64
1999,3,24,ALV2,52.57,29.15,42.09,5.61
1999,3,25,ALV2,56.17,31.96,43.96,6.64
1999,3,26,ALV2,58.82,30.04,44.15,6.75
1999,3,27,ALV2,55.54,47.23,50.27,10.15
1999,3,28,ALV2,65.08,42.92,53.16,11.76
1999,3,29,ALV2,63.5,36.92,49.33,9.63
1999,3,30,ALV2,69.44,38.73,55.57,13.09
1999,3,31,ALV2,73.04,55.31,61.81,16.56
1999,4,1,ALV2,81.18,55.8,67.32,19.62
1999,4,2,ALV2,65.34,45.4,56.09,13.38
1999,4,3,ALV2,61.41,42.85,49.49,9.72
1999,4,4,ALV2,68.22,35.63,53.25,11.81
1999,4,5,ALV2,63.36,40.72,55.1,12.83
1999,4,6,ALV2,71.37,35.52,54.51,12.51
1999,4,7,ALV2,75.88,54.43,65.26,18.48
1999,4,8,ALV2,77.86,50.58,68.96,20.53
1999,4,9,ALV2,69.24,42.15,57.2,14.00
1999,4,10,ALV2,72.93,39.4,59.21,15.12
1999,4,11,ALV2,66.36,35.5,51.78,10.99
1999,4,12,ALV2,72,36.74,56.93,13.85
1999,4,13,ALV2,64.63,51.96,57.46,14.14
1999,4,14,ALV2,54.84,40.62,50.66,10.37
1999,4,15,ALV2,55.4,35.45,44.87,7.15
1999,4,16,ALV2,54.41,32.27,42.32,5.73
1999,4,17,ALV2,58.93,29.09,43.81,6.56
1999,4,18,ALV2,79.99,31.18,55.45,13.03
1999,4,19,ALV2,79.07,43.8,62.73,17.07
1999,4,20,ALV2,87.26,45.27,67.81,19.89
1999,4,21,ALV2,-996,-996,-996,-571.11
1999,4,22,ALV2,-996,-996,-996,-571.11
1999,4,23,ALV2,53.49,43.93,46.79,8.22
1999,4,24,ALV2,51.19,43.99,47.32,8.51
1999,4,25,ALV2,69.33,50.85,58.15,14.53
1999,4,26,ALV2,67.46,48.58,58.17,14.54
1999,4,27,ALV2,77.68,48.38,61.03,16.13
1999,4,28,ALV2,59.67,48.33,55.62,13.12
1999,4,29,ALV2,62.51,51.33,55.72,13.18
1999,4,30,ALV2,69.98,50.13,58.85,14.92
1999,5,1,ALV2,69.03,47.93,58.17,14.54
1999,5,2,ALV2,74.73,55.65,64.21,17.89
1999,5,3,ALV2,81.43,61.59,70.61,21.45
1999,5,4,ALV2,-996,-996,-996,-571.11
1999,5,5,ALV2,70.23,44.33,56.89,13.83
1999,5,6,ALV2,68.95,40.06,54.72,12.62
1999,5,7,ALV2,77.32,41.87,59.8,15.44
1999,5,8,ALV2,88.14,43.22,66.92,19.40
1999,5,9,ALV2,82.72,61.18,71.04,21.69
1999,5,10,ALV2,82.17,59.58,70.23,21.24
1999,5,11,ALV2,69.15,52.97,61.75,16.53
1999,5,12,ALV2,74.17,45.61,59.3,15.17
1999,5,13,ALV2,79.63,44.29,64.5,18.06
1999,5,14,ALV2,84.47,64.11,72.76,22.64
1999,5,15,ALV2,92.55,71.19,80.55,26.97
1999,5,16,ALV2,92.77,63.57,79.44,26.36
1999,5,17,ALV2,70.88,50.63,62.08,16.71
1999,5,18,ALV2,76.44,45.97,61.96,16.64
1999,5,19,ALV2,82.02,52.09,68.08,20.04
1999,5,20,ALV2,80.56,61.75,70.31,21.28
1999,5,21,ALV2,79.68,54.55,68.08,20.04
1999,5,22,ALV2,84.67,58.3,71.39,21.88
1999,5,23,ALV2,78.87,57.94,68.82,20.46
1999,5,24,ALV2,81.86,52.93,68.74,20.41
1999,5,25,ALV2,66.49,57.43,62.76,17.09
1999,5,26,ALV2,74.39,54.3,64.06,17.81
1999,5,27,ALV2,72.7,51.94,62.88,17.16
1999,5,28,ALV2,78.66,51.13,65.89,18.83
1999,5,29,ALV2,81.84,55.54,69.71,20.95
1999,5,30,ALV2,88.38,61.86,75.14,23.97
1999,5,31,ALV2,86.32,63.72,73.95,23.31
1999,6,1,ALV2,84.72,64.24,73.72,23.18
1999,6,2,ALV2,89.17,56.26,74.54,23.63
1999,6,3,ALV2,84.56,63.05,75.65,24.25
1999,6,4,ALV2,87.69,72.3,79.74,26.52
1999,6,5,ALV2,84.94,72.63,78.88,26.04
1999,6,6,ALV2,87.28,68.74,78.07,25.59
1999,6,7,ALV2,88.92,64.92,75.99,24.44
1999,6,8,ALV2,90.48,66.97,79.42,26.34
1999,6,9,ALV2,91.4,66.25,75.53,24.18
1999,6,10,ALV2,82.9,61.59,69.83,21.02
1999,6,11,ALV2,84.47,64.17,71.98,22.21
1999,6,12,ALV2,78.64,64.08,69.89,21.05
1999,6,13,ALV2,81.72,62.96,71.11,21.73
1999,6,14,ALV2,80.6,58.51,69.26,20.70
1999,6,15,ALV2,82.15,52.77,69.46,20.81
1999,6,16,ALV2,67.89,54.75,62.37,16.87
1999,6,17,ALV2,74.86,49.69,63.43,17.46
1999,6,18,ALV2,69.46,60.03,64.89,18.27
1999,6,19,ALV2,81.95,62.11,70.58,21.43
1999,6,20,ALV2,83.12,65.62,72.33,22.41
1999,6,21,ALV2,82.99,65.52,72.09,22.27
1999,6,22,ALV2,79.93,68.97,73.86,23.26
1999,6,23,ALV2,88.09,63.41,77.08,25.04
1999,6,24,ALV2,83.93,68.09,74.62,23.68
1999,6,25,ALV2,87.21,66,75.46,24.14
1999,6,26,ALV2,93.38,71.17,81.96,27.76
1999,6,27,ALV2,96.4,75.69,85.21,29.56
1999,6,28,ALV2,90.05,67.86,81.48,27.49
1999,6,29,ALV2,86.09,59.67,73.41,23.01
1999,6,30,ALV2,84.15,67.5,75.45,24.14
1999,7,1,ALV2,88.88,68.38,77.58,25.32
1999,7,2,ALV2,93.13,72.48,83.11,28.39
1999,7,3,ALV2,92.05,76.53,83.76,28.76
1999,7,4,ALV2,91.74,74.57,83.39,28.55
1999,7,5,ALV2,93.51,72.12,82.92,28.29
1999,7,6,ALV2,96.87,69.58,82.63,28.13
1999,7,7,ALV2,96.1,70.65,83.64,28.69
1999,7,8,ALV2,96.04,72.12,84.64,29.24
1999,7,9,ALV2,98.35,63.79,82.93,28.29
1999,7,10,ALV2,79.92,60.58,70.59,21.44
1999,7,11,ALV2,82.09,58.1,69.66,20.92
1999,7,12,ALV2,82.29,60.82,71.04,21.69
1999,7,13,ALV2,89.29,60.03,75.94,24.41
1999,7,14,ALV2,95.4,66.45,82.13,27.85
1999,7,15,ALV2,92.71,72.48,83.35,28.53
1999,7,16,ALV2,93.09,76.78,83.43,28.57
1999,7,17,ALV2,94.46,71.06,82.54,28.08
1999,7,18,ALV2,95.72,73.04,84.24,29.02
1999,7,19,ALV2,96.96,71.71,84.54,29.19
1999,7,20,ALV2,96.78,71.82,84.79,29.33
1999,7,21,ALV2,96.22,71.35,84.36,29.09
1999,7,22,ALV2,97.92,71.42,84.98,29.43
1999,7,23,ALV2,100.71,73.26,87.35,30.75
1999,7,24,ALV2,102.09,71.19,87.45,30.81
1999,7,25,ALV2,102.36,70.77,87.53,30.85
1999,7,26,ALV2,101.82,75.24,88.13,31.18
1999,7,27,ALV2,101.77,79.12,89.42,31.90
1999,7,28,ALV2,104.05,75.54,89.07,31.71
1999,7,29,ALV2,103.96,73.69,90.64,32.58
1999,7,30,ALV2,106.03,77.68,92.68,33.71
1999,7,31,ALV2,102.45,76.48,89.48,31.93
1999,8,1,ALV2,98.15,73.89,84.61,29.23
1999,8,2,ALV2,87.33,72.66,77.97,25.54
1999,8,3,ALV2,86.29,67.17,75.53,24.18
1999,8,4,ALV2,82.45,69.3,75.69,24.27
1999,8,5,ALV2,75.79,68.25,72.82,22.68
1999,8,6,ALV2,91.65,67.28,79.33,26.29
1999,8,7,ALV2,99.86,76.1,86.18,30.10
1999,8,8,ALV2,89.1,73.4,79.87,26.59
1999,8,9,ALV2,93.49,67.17,79.68,26.49
1999,8,10,ALV2,94.93,67.55,83.53,28.63
1999,8,11,ALV2,101.23,74.01,86.56,30.31
1999,8,12,ALV2,94.93,69.48,83.05,28.36
1999,8,13,ALV2,85.42,66.24,73.95,23.31
1999,8,14,ALV2,90.54,60.64,75.03,23.91
1999,8,15,ALV2,99.21,63.19,83.13,28.41
1999,8,16,ALV2,102.29,76.66,87.9,31.06
1999,8,17,ALV2,100.31,71.22,85.45,29.69
1999,8,18,ALV2,98.76,61.83,83.16,28.42
1999,8,19,ALV2,-996,-996,-996,-571.11
1999,8,20,ALV2,-996,-996,-996,-571.11
1999,8,21,ALV2,94.12,66.54,79.7,26.50
1999,8,22,ALV2,101.8,72.09,84.77,29.32
1999,8,23,ALV2,94.86,70.57,82.53,28.07
1999,8,24,ALV2,-996,-996,-996,-571.11
1999,8,25,ALV2,101.37,61.95,81.96,27.76
1999,8,26,ALV2,104.18,73.47,89.18,31.77
1999,8,27,ALV2,100.87,72.18,85.83,29.91
1999,8,28,ALV2,99.64,68.11,84.8,29.33
1999,8,29,ALV2,99.43,71.76,86,30.00
1999,8,30,ALV2,96.53,74.34,84.65,29.25
1999,8,31,ALV2,94.32,69.91,82.82,28.23
1999,9,1,ALV2,97,66.7,82.44,28.02
1999,9,2,ALV2,93.11,67.37,80.51,26.95
1999,9,3,ALV2,95.05,67.33,78.33,25.74
1999,9,4,ALV2,94.87,69.55,80.49,26.94
1999,9,5,ALV2,85.15,67.28,74.45,23.58
1999,9,6,ALV2,93.78,62.15,78.6,25.89
1999,9,7,ALV2,98.53,71.53,83.6,28.67
1999,9,8,ALV2,83.93,61.57,73.9,23.28
1999,9,9,ALV2,87.31,48.4,69.95,21.08
1999,9,10,ALV2,96.3,63.19,76.13,24.52
1999,9,11,ALV2,83.5,65.61,73.11,22.84
1999,9,12,ALV2,69.31,53.94,64.99,18.33
1999,9,13,ALV2,76.71,51.19,62.81,17.12
1999,9,14,ALV2,78.94,53.98,62.41,16.89
1999,9,15,ALV2,67.39,57.61,62.69,17.05
1999,9,16,ALV2,69.26,55.11,62.08,16.71
1999,9,17,ALV2,75.72,55.47,63.88,17.71
1999,9,18,ALV2,79.25,64.22,69.48,20.82
1999,9,19,ALV2,80.02,61.99,70.02,21.12
1999,9,20,ALV2,61.95,49.55,56.33,13.52
1999,9,21,ALV2,70.02,45.72,56.5,13.61
1999,9,22,ALV2,77.97,43.47,60.19,15.66
1999,9,23,ALV2,85.05,52.18,66.57,19.21
1999,9,24,ALV2,83.43,51.58,66.54,19.19
1999,9,25,ALV2,81.14,55.24,68.54,20.30
1999,9,26,ALV2,92.12,63.39,75.59,24.22
1999,9,27,ALV2,67.73,50.47,54.23,12.35
1999,9,28,ALV2,54.59,50.09,52.45,11.36
1999,9,29,ALV2,68.34,42.81,54.67,12.59
1999,9,30,ALV2,77.4,45.02,59.85,15.47
1999,10,1,ALV2,83.77,45.1,65.09,18.38
1999,10,2,ALV2,59,42.93,49.01,9.45
1999,10,3,ALV2,57.36,39.38,49.74,9.86
1999,10,4,ALV2,63.93,34.73,48.57,9.21
1999,10,5,ALV2,79.47,37.85,58.89,14.94
1999,10,6,ALV2,87.6,51.8,68.15,20.08
1999,10,7,ALV2,84,56.61,68.55,20.31
1999,10,8,ALV2,62.76,55.22,58.62,14.79
1999,10,9,ALV2,80.2,51.46,63.89,17.72
1999,10,10,ALV2,86.32,49.03,66.75,19.31
1999,10,11,ALV2,84.74,50.81,66.64,19.24
1999,10,12,ALV2,88.05,55.47,70.33,21.29
1999,10,13,ALV2,74.07,49.53,62.57,16.98
1999,10,14,ALV2,87.78,42.09,63.75,17.64
1999,10,15,ALV2,88.77,59.2,72.17,22.32
1999,10,16,ALV2,66.36,48.83,57.91,14.39
1999,10,17,ALV2,59.74,43.03,51.41,10.78
1999,10,18,ALV2,65.95,37.59,52.64,11.47
1999,10,19,ALV2,66.49,36.43,50.07,10.04
1999,10,20,ALV2,76.46,34.08,54.87,12.71
1999,10,21,ALV2,84.92,40.82,59.92,15.51
1999,10,22,ALV2,75.22,40.46,56.8,13.78
1999,10,23,ALV2,64.42,35.81,49.58,9.77
1999,10,24,ALV2,70.38,32.74,49.82,9.90
1999,10,25,ALV2,81.03,34.9,54.92,12.73
1999,10,26,ALV2,84.18,35.4,58.25,14.58
1999,10,27,ALV2,83.05,50.5,66.01,18.89
1999,10,28,ALV2,69.51,49.86,58.04,14.47
1999,10,29,ALV2,79.65,54.05,65.54,18.63
1999,10,30,ALV2,61.83,49.08,55.77,13.21
1999,10,31,ALV2,64.29,48.27,56.51,13.62
1999,11,1,ALV2,66.25,45.67,55.26,12.92
1999,11,2,ALV2,58.37,29.2,42.72,5.96
1999,11,3,ALV2,73.24,32.34,51.25,10.69
1999,11,4,ALV2,79.11,33.04,54.61,12.56
1999,11,5,ALV2,79,48.47,62.75,17.08
1999,11,6,ALV2,76.93,42.57,57.53,14.18
1999,11,7,ALV2,82.22,45.01,61.78,16.54
1999,11,8,ALV2,76.93,50.31,63.32,17.40
1999,11,9,ALV2,80.35,53.08,66.3,19.06
1999,11,10,ALV2,75.45,43.93,57.6,14.22
1999,11,11,ALV2,82.74,40.5,59.88,15.49
1999,11,12,ALV2,81.43,46.36,60.73,15.96
1999,11,13,ALV2,85.06,45.89,63.22,17.34
1999,11,14,ALV2,72.63,43.73,56.29,13.49
1999,11,15,ALV2,73.78,33.13,51.44,10.80
1999,11,16,ALV2,79.29,34.8,54.79,12.66
1999,11,17,ALV2,80.94,41.79,62.58,16.99
1999,11,18,ALV2,76.68,53.65,64.5,18.06
1999,11,19,ALV2,63.82,35.26,49.07,9.48
1999,11,20,ALV2,69.17,27.27,49.42,9.68
1999,11,21,ALV2,70.38,35.32,52.66,11.48
1999,11,22,ALV2,48.04,31.28,42.64,5.91
1999,11,23,ALV2,52.14,30.05,42.18,5.66
1999,11,24,ALV2,52.7,21.76,35.56,1.98
1999,11,25,ALV2,57.79,22.32,38.95,3.86
1999,11,26,ALV2,76.19,33.06,50.93,10.52
1999,11,27,ALV2,65.21,30.89,48.59,9.22
1999,11,28,ALV2,58.55,35.98,45.13,7.29
1999,11,29,ALV2,54.28,27.98,39.54,4.19
1999,11,30,ALV2,62.69,25.08,44.62,7.01
1999,12,1,ALV2,66.61,44.95,56.17,13.43
1999,12,2,ALV2,68.34,43.22,57.77,14.32
1999,12,3,ALV2,56.68,33.32,44.36,6.87
1999,12,4,ALV2,43.81,32.01,37.86,3.26
1999,12,5,ALV2,34.65,17.13,27.85,-2.31
1999,12,6,ALV2,45.45,14.34,30.84,-0.64
1999,12,7,ALV2,42.9,24.97,32.98,0.54
1999,12,8,ALV2,40.13,22.18,31.91,-0.05
1999,12,9,ALV2,45.92,26.22,35.93,2.18
1999,12,10,ALV2,47.61,22.62,32.98,0.54
1999,12,11,ALV2,47.26,26.65,37.71,3.17
1999,12,12,ALV2,53.67,25.29,37.52,3.07
1999,12,13,ALV2,54.95,23.43,36.65,2.58
1999,12,14,ALV2,45.54,32.06,37.92,3.29
1999,12,15,ALV2,53.22,22.36,34.9,1.61
1999,12,16,ALV2,56.86,20.46,36.23,2.35
1999,12,17,ALV2,48.54,31.88,39.32,4.07
1999,12,18,ALV2,45.57,31.31,35.57,1.98
1999,12,19,ALV2,41.45,23.13,33.8,1.00
1999,12,20,ALV2,37.05,18.71,26.75,-2.92
1999,12,21,ALV2,46.08,17.44,29.95,-1.14
1999,12,22,ALV2,44.09,20.9,32.13,0.07
1999,12,23,ALV2,56.43,22.79,37.05,2.81
1999,12,24,ALV2,47.12,26.87,36.76,2.64
1999,12,25,ALV2,64.53,23.87,41.09,5.05
1999,12,26,ALV2,56.23,26.51,39.99,4.44
1999,12,27,ALV2,51.6,22.29,36.12,2.29
1999,12,28,ALV2,74.53,23.41,44.97,7.21
1999,12,29,ALV2,72.43,29.18,48.01,8.89
1999,12,30,ALV2,62.53,29.41,42.54,5.86
1999,12,31,ALV2,62.71,21.67,39.31,4.06
2000,1,1,ALV2,70.88,32.01,52.2,11.22
2000,1,2,ALV2,56.86,32.29,46.04,7.80
2000,1,3,ALV2,40.57,24.87,34.52,1.40
2000,1,4,ALV2,42.02,11.52,24.9,-3.94
2000,1,5,ALV2,58.68,23.62,38.75,3.75
2000,1,6,ALV2,48.72,20.75,33.66,0.92
2000,1,7,ALV2,55.11,18.38,34.6,1.44
2000,1,8,ALV2,54.86,25.14,42.44,5.80
2000,1,9,ALV2,55.83,19.8,34.14,1.19
2000,1,10,ALV2,70.56,26.79,42.84,6.02
2000,1,11,ALV2,54.14,19.96,34.79,1.55
2000,1,12,ALV2,64.36,22.25,43.16,6.20
2000,1,13,ALV2,49.41,20.79,33.74,0.97
2000,1,14,ALV2,59.67,16.12,37.55,3.08
2000,1,15,ALV2,70.25,34.72,50.51,10.28
2000,1,16,ALV2,39.04,27.88,36.05,2.25
2000,1,17,ALV2,42.51,28.18,37.96,3.31
2000,1,18,ALV2,54.19,26.65,37.93,3.29
2000,1,19,ALV2,70.27,25.34,42.47,5.82
2000,1,20,ALV2,42.01,16.7,29.68,-1.29
2000,1,21,ALV2,51.1,21.59,36.41,2.45
2000,1,22,ALV2,58.06,22.61,38.19,3.44
2000,1,23,ALV2,43.97,17.92,33.06,0.59
2000,1,24,ALV2,48.06,15.4,29.37,-1.46
2000,1,25,ALV2,35.06,24.91,30.37,-0.91
2000,1,26,ALV2,29.54,24.7,26.65,-2.97
2000,1,27,ALV2,24.92,19.91,23.39,-4.78
2000,1,28,ALV2,28.68,20.26,22.76,-5.13
2000,1,29,ALV2,32.84,8.31,19.79,-6.78
2000,1,30,ALV2,31.25,11.05,22.68,-5.18
2000,1,31,ALV2,32.47,12.9,21.03,-6.09
2000,2,1,ALV2,32.52,13.89,21.85,-5.64
2000,2,2,ALV2,59.56,11.35,34.97,1.65
2000,2,3,ALV2,54.19,29.9,42.01,5.56
2000,2,4,ALV2,43.76,21.31,34.91,1.62
2000,2,5,ALV2,52.86,19.18,34.92,1.62
2000,2,6,ALV2,56.52,23.14,37.93,3.29
2000,2,7,ALV2,62.33,29.25,43.16,6.20
2000,2,8,ALV2,68.77,23.13,44.47,6.93
2000,2,9,ALV2,76.82,30.05,51.23,10.68
2000,2,10,ALV2,66.4,34.95,47.92,8.84
2000,2,11,ALV2,39.88,24.43,32.6,0.33
2000,2,12,ALV2,51.89,15.48,36.07,2.26
2000,2,13,ALV2,49.64,23.53,36.66,2.59
2000,2,14,ALV2,54.61,16.25,35.4,1.89
2000,2,15,ALV2,74.79,30.9,50.65,10.36
2000,2,16,ALV2,50.07,28.57,39.09,3.94
2000,2,17,ALV2,50.16,38.99,44.15,6.75
2000,2,18,ALV2,42.36,31.8,36.59,2.55
2000,2,19,ALV2,55.42,26.26,38.47,3.59
2000,2,20,ALV2,65.39,22.25,43.31,6.28
2000,2,21,ALV2,75.79,40.93,58.47,14.71
2000,2,22,ALV2,63.28,51.33,58.85,14.92
2000,2,23,ALV2,69.84,45.62,56.65,13.69
2000,2,24,ALV2,75.15,39.56,58.48,14.71
2000,2,25,ALV2,63.75,47.14,55.94,13.30
2000,2,26,ALV2,57.56,31.77,44.45,6.92
2000,2,27,ALV2,65.66,27.01,45.05,7.25
2000,2,28,ALV2,71.02,37.04,55.15,12.86
2000,2,29,ALV2,68.52,35.21,54.55,12.53
2000,3,1,ALV2,64.24,29.78,47.16,8.42
2000,3,2,ALV2,50.34,41.87,44.37,6.87
2000,3,3,ALV2,48.97,31.99,39.56,4.20
2000,3,4,ALV2,65.98,28.15,46.33,7.96
2000,3,5,ALV2,69.1,35.04,52.82,11.57
2000,3,6,ALV2,77.2,52,63.12,17.29
2000,3,7,ALV2,72.79,52.02,61.73,16.52
2000,3,8,ALV2,74.48,39.47,57.35,14.08
2000,3,9,ALV2,51.26,30.52,41.07,5.04
2000,3,10,ALV2,44.02,27.05,35.16,1.76
2000,3,11,ALV2,54.14,28.54,38.02,3.34
2000,3,12,ALV2,63.19,29.02,45.2,7.33
2000,3,13,ALV2,58.95,34.97,46.97,8.32
2000,3,14,ALV2,68.11,38.7,52.08,11.16
2000,3,15,ALV2,73.63,38.44,55.88,13.27
2000,3,16,ALV2,38.38,26.58,31.08,-0.51
2000,3,17,ALV2,35.63,31.67,33.47,0.82
2000,3,18,ALV2,43.49,35.01,38.8,3.78
2000,3,19,ALV2,61.68,31.23,45.66,7.59
2000,3,20,ALV2,72.14,35.37,52.1,11.17
2000,3,21,ALV2,55.54,44.81,50.15,10.08
2000,3,22,ALV2,53.13,47.71,49.98,9.99
2000,3,23,ALV2,64.89,47.79,54.57,12.54
2000,3,24,ALV2,72.27,40.83,57.27,14.04
2000,3,25,ALV2,70.68,43.43,56.43,13.57
2000,3,26,ALV2,79.39,45.39,59.58,15.32
2000,3,27,ALV2,78.26,39.92,59.43,15.24
2000,3,28,ALV2,56.86,44.22,50.83,10.46
2000,3,29,ALV2,47.75,41.88,44.41,6.89
2000,3,30,ALV2,59.47,35.2,47.17,8.43
2000,3,31,ALV2,55.02,36.88,45.46,7.48
2000,4,1,ALV2,49.41,43.17,45.48,7.49
2000,4,2,ALV2,67.91,34.19,51.07,10.59
2000,4,3,ALV2,52.21,31.33,44.35,6.86
2000,4,4,ALV2,74.32,29.06,51.77,10.98
2000,4,5,ALV2,94.28,54.57,73.42,23.01
2000,4,6,ALV2,72.19,48.24,60.07,15.59
2000,4,7,ALV2,65.01,41.7,53.89,12.16
2000,4,8,ALV2,61.05,28.38,45.11,7.28
2000,4,9,ALV2,68.38,38.84,55.7,13.17
2000,4,10,ALV2,80.82,46.78,63.17,17.32
2000,4,11,ALV2,62.8,46.51,54.75,12.64
2000,4,12,ALV2,59.07,41.11,48.06,8.92
2000,4,13,ALV2,66.56,40.92,53.95,12.19
2000,4,14,ALV2,73.42,44.58,59.55,15.31
2000,4,15,ALV2,67.14,38.04,55.36,12.98
2000,4,16,ALV2,63.79,33.5,46.79,8.22
2000,4,17,ALV2,66.99,33.16,50.27,10.15
2000,4,18,ALV2,86.65,48.9,67.44,19.69
2000,4,19,ALV2,85.95,51.93,70.12,21.18
2000,4,20,ALV2,72.12,42.3,57.65,14.25
2000,4,21,ALV2,73.38,35.79,56.09,13.38
2000,4,22,ALV2,70.5,45.88,58.61,14.78
2000,4,23,ALV2,69.19,50.56,59.11,15.06
2000,4,24,ALV2,77.16,47.1,62.33,16.85
2000,4,25,ALV2,76.69,47.23,62.55,16.97
2000,4,26,ALV2,72.43,41.67,57.44,14.13
